id)	curation_lvl	exact	name	dumm1	dumm2	synonyms	comments
 	0	0	3410-127 IBM RI M0277	0	0	{"Z017E0164"}	{""}
 	0	0	3410-12 IBM RI M0056	0	0	{"Z017E0101"}	{""}
 	0	0	3410-131 IBM RI M0286	0	0	{"Z017E0172"}	{""}
 	0	0	3410-134 IBM RI M0292	0	0	{"Z017E0173"}	{""}
 	0	0	3410-137 IBM RI M0301	0	0	{"Z017E0174"}	{""}
 	0	0	3410-138 IBM RI M0302	0	0	{"Z017E0175"}	{""}
 	0	0	3410-139 IBM RI M0303	0	0	{"Z017E0176"}	{""}
 	0	0	3410-140 IBM RI M0304	0	0	{"Z017E0177"}	{""}
 	0	0	3410-141 IBM RI M0305	0	0	{"Z017E0178"}	{""}
 	0	0	3410-142 IBM RI M0307	0	0	{"Z017E0179"}	{""}
 	0	0	3410-143 IBM RI M0308	0	0	{"Z017E0180"}	{""}
 	0	0	3410-144 IBM RI M0313	0	0	{"Z017E0181"}	{""}
 	0	0	3410-145 IBM RI M0314	0	0	{"Z017E0184"}	{""}
 	0	0	3410-146 IBM RI M0318	0	0	{"Z017E0182"}	{""}
 	0	0	3410-148 IBM RI M0329	0	0	{"Z017E0185"}	{""}
 	0	0	3410-14 IBM RI M0068	0	0	{"Z017E0102"}	{""}
 	0	0	3410-151 IBM RI M0335	0	0	{"Z017E0186"}	{""}
 	0	0	3410-152 IBM RI M0336	0	0	{"Z017E0187"}	{""}
 	0	0	3410-153 IBM RI M0338	0	0	{"Z017E0188"}	{""}
 	0	0	3410-154 IBM RI M0340	0	0	{"Z017E0189"}	{""}
 	0	0	3410-155 IBM RI M0347	0	0	{"Z017E0191"}	{""}
 	0	0	3410-157 IBM RI M0351	0	0	{"Z017E0192"}	{""}
 	0	0	3410-159 IBM RI M0356	0	0	{"Z017E0193"}	{""}
 	0	0	3410-161 IBM RI M0361	0	0	{"Z017E0194"}	{""}
 	0	0	3410-162 IBM RI M0362	0	0	{"Z017E0198"}	{""}
 	0	0	3410-163 IBM RI M0367	0	0	{"Z017E0196"}	{""}
 	0	0	3410-164 IBM RI M0373	0	0	{"Z017E0197"}	{""}
 	0	0	3410-167 IBM RI M0380	0	0	{"Z017E0199"}	{""}
 	0	0	3410-168 IBM RI M0381	0	0	{"Z017E0200"}	{""}
 	0	0	3410-18 IBM RI M0082	0	0	{"Z017E0103"}	{""}
 	0	0	3410-19 IBM RI M0085	0	0	{"Z017E0105"}	{""}
 	0	0	3410-1 IBM RI M0003	0	0	{"Z017E0095"}	{""}
 	0	0	3410-21 IBM RI M0088	0	0	{"Z017E0107"}	{""}
 	0	0	3410-23 IBM RI M0091	0	0	{"Z017E0108"}	{""}
 	0	0	3410-24 IBM RI M0093	0	0	{"Z017E0110"}	{""}
 	0	0	3410-27 IBM RI M0098	0	0	{"Z017E0112"}	{""}
 	0	0	3410-28 IBM RI M0099	0	0	{"Z017E0113"}	{""}
 	0	0	3410-29 IBM RI M0101	0	0	{"Z017E0114"}	{""}
 	0	0	3410-2 IBM RI M0011	0	0	{"Z017E0028"}	{""}
 	0	0	3410-30 IBM RI M0105	0	0	{"Z017E0116"}	{""}
 	0	0	3410-31 IBM RI M0106	0	0	{"Z017E0117"}	{""}
 	0	0	3410-36 IBM RI M0114	0	0	{"Z017E0118"}	{""}
 	0	0	3410-38 IBM RI M0118	0	0	{"Z017E0120"}	{""}
 	0	0	3410-3 IBM RI M0013	0	0	{"Z017E0034"}	{""}
 	0	0	3410-40 IBM RI M0120	0	0	{"Z017E0121"}	{""}
 	0	0	3410-42 IBM RI M0123	0	0	{"Z017E0122"}	{""}
 	0	0	3410-44 IBM RI M0125	0	0	{"Z017E0123"}	{""}
 	0	0	3410-46 IBM RI M0127	0	0	{"Z017E0124"}	{""}
 	0	0	3410-55 IBM RI M0141	0	0	{"Z017E0126"}	{""}
 	0	0	3410-59 IBM RI M0151	0	0	{"Z017E0129"}	{""}
 	0	0	3410-5 IBM RI M0019	0	0	{"Z017E0096"}	{""}
 	0	0	3410-63 IBM RI M0159	0	0	{"Z017E0131"}	{""}
 	0	0	3410-65 IBM RI M0161	0	0	{"Z017E0132"}	{""}
 	0	0	3410-66 IBM RI M0162	0	0	{"Z017E0133"}	{""}
 	0	0	3410-67 IBM RI M0163	0	0	{"Z017E0134"}	{""}
 	0	0	3410-71 IBM RI M0169	0	0	{"Z017E0137"}	{""}
 	0	0	3410-73 IBM RI M0172	0	0	{"Z017E0136"}	{""}
 	0	0	3410-74 IBM RI M0176	0	0	{"Z017E0139"}	{""}
 	0	0	3410-76 IBM RI M0178	0	0	{"Z017E0140"}	{""}
 	0	0	3410-78 IBM RI M0181	0	0	{"Z017E0141"}	{""}
 	0	0	3410-81 IBM RI M0185	0	0	{"Z017E0142"}	{""}
 	0	0	3410-82 IBM RI M0186	0	0	{"Z017E0143"}	{""}
 	0	0	3410-84 IBM RI M0188	0	0	{"Z017E0144"}	{""}
 	0	0	3410-86 IBM RI M0190	0	0	{"Z017E0145"}	{""}
 	0	0	3410-88 IBM RI M0192	0	0	{"Z017E0146"}	{""}
 	0	0	3410-89 IBM RI M0194	0	0	{"Z017E0147"}	{""}
 	0	0	3410-8 IBM RI M0038	0	0	{"Z017E0097"}	{""}
 	0	0	3410-98 IBM RI M0208	0	0	{"Z017E0149"}	{""}
 	0	0	3410-9 IBM RI M0041	0	0	{"Z017E0098"}	{""}
 	0	0	3411-10 IBM RI M0145	0	0	{"Z017E0128"}	{""}
 	0	0	3411-11  IBM RI M0154	0	0	{"Z017E0130"}	{""}
 	0	0	3411-13 IBM RI M0164	0	0	{"Z017E0135"}	{""}
 	101	0	3411-16 IBM RI M0175	0	0	{"Z017E0138"}	{"Annotation|Not available at present from the Maize Genetics COOP."}
 	0	0	3411-19 IBM RI M0202	0	0	{"Z017E0148"}	{""}
 	0	0	3411-20 IBM RI M0210	0	0	{"Z017E0150"}	{""}
 	0	0	3411-22 IBM RI M0225	0	0	{"Z017E0155"}	{""}
 	0	0	3411-24 IBM RI M0237	0	0	{"Z017E0158"}	{""}
 	0	0	3411-26 IBM RI M0246	0	0	{"Z017E0159"}	{""}
 	0	0	3411-28 IBM RI M0268	0	0	{"Z017E0166"}	{""}
 	0	0	3411-29 IBM RI M0278	0	0	{"Z017E0170"}	{""}
 	0	0	3411-2 IBM RI M0083	0	0	{"Z017E0104"}	{""}
 	0	0	3411-30 IBM RI M0279	0	0	{"Z017E0171"}	{""}
 	0	0	3411-33 IBM RI M0342	0	0	{"Z017E0190"}	{""}
 	0	0	3411-35 Z017E0183 (a.k.a.: M0319)	0	0	{"3411-35","3411-35 M0319","3411-35  Z017E0183","3411-35 Z017E0183 (a.k.a.: M0319)","IBM RI M0319","MO319","Z017E0183"}	{"Annotation|The other two RILs are: Z017E0111 (aka M0095; being increased) and Z017E0195 (aka M0366; permanently discontinued due to QC issues).","History|One of three stocks originally part of the '384' IBM RILs, but was discontinued by the developers before the distibuted set (of 292 RILs) was released. Three of the discontinued RILs were subsequently analyzed as part of the NAM panel in the Z017 (B73 x Mo17) series."}
 	0	0	3411-3 IBM RI M0087	0	0	{"Z017E0106"}	{""}
 	0	0	3411-4 IBM RI M0092	0	0	{"Z017E0109"}	{""}
 	0	0	3411-5 IBM RI M0102	0	0	{"Z017E0115"}	{""}
 	0	0	3411-6 IBM RI M0116	0	0	{"Z017E0119"}	{""}
 	0	0	3411-9 IBM RI M0143	0	0	{"Z017E0127"}	{""}
 	101	0	IBM RI M0062	0	0	{"Z017E0040"}	{"Annotation|Member of the IBM 302, and NAM Z017 mapping panels. Phenotype data avaiable in the literature.","Annotation|No longer available from MGCSC; all souces received failed QC","Annotation|Note: 3409-40 IBM RI M0062 is no longer available. All known sources were found to be contaminated and it could not be recovered due to the poor performance of the line. Permanently discontinued."}
 	0	0	IBM RI M0095	0	0	{"Z017E0111"}	{"Annotation|Member of the IBM 302, and NAM Z017 mapping panels. Phenotype data avaiable in the literature.","Annotation|Not availsble from the Maize Genetics Cooperation Stock Center","History|One of three stocks originally part of the '384' IBM RILs, but was discontinued by the developers before the distibuted set (of 292 RILs) was released. Three of the discontinued RILs were subsequently analyzed as part of the NAM panel in the Z017 (B73 x Mo17) series."}
 	0	0	IBM RI M0366	0	0	{"Z017E0195"}	{"Annotation|Member of IBM 302 and NAM Z017 mapping panel of stocks. Stocks of very poor quality spring 2014 (per M McMullen). Permanently discontinued due to QC issues. Phenotype data available in the literature.","Annotation|Not available from Maize Genetics Cooperation Stock Center","History|One of three stocks originally part of the '384' IBM RILs, but was discontinued by the developers before the distibuted set (of 292 RILs) was released. Three of the discontinued RILs were subsequently analyzed as part of the NAM panel in the Z017 (B73 x Mo17) series."}

COMPLETE
